ATCLNO,동,PRC,500m_내_마트수,500m_내_버스수,500m_내_경찰수,500m_내_학교수,가장가까운지하철거리
2431616155,염창동,28000,2,15,0,0,0.164562244879264
2430590647,화곡동,30000,2,15,0,0,0.164562244879264
2432883712,화곡동,21000,3,13,1,0,0.552826118683991
2432675458,화곡동,21000,3,13,1,0,0.552826118683991
2429706562,화곡동,21000,3,13,1,0,0.552826118683991
2431646127,화곡동,15700,2,24,0,3,0.2835011764279005
2433184405,화곡동,25000,2,16,1,1,0.2284054577582572
2432644010,화곡동,28000,3,21,1,1,0.1670420858984337
2432897236,화곡동,5500,0,28,1,2,0.9318728719145796
2431601734,화곡동,7500,0,22,1,1,1.054935137584306
2430543792,화곡동,18500,0,27,1,1,1.028758880553074
2430976149,화곡동,25000,0,51,0,2,0.6734157931264515
2432080463,화곡동,15000,2,23,0,2,0.5893287012072618
2431742847,화곡동,16500,2,23,0,2,0.5893287012072618
2429009497,화곡동,5000,2,24,0,2,0.7745512209248336
2432798360,화곡동,5000,1,25,0,1,0.2745394318928236
2430543997,화곡동,19900,1,19,1,0,0.0434588794798574
2433600075,화곡동,30000,0,17,0,1,0.5875926010212871
2430931604,화곡동,15000,1,20,1,1,0.3790096778597493
2433154572,화곡동,24000,0,11,0,1,0.817032369056354
2433996310,화곡동,26400,0,13,0,2,0.6728050325629615
2432557334,화곡동,23000,0,13,0,2,0.6728050325629615
2433135854,화곡동,15100,0,16,0,2,0.59848152105218
2432539711,대방동,18900,1,42,0,1,0.337611569546621
2431752118,대방동,18900,1,42,0,1,0.337611569546621
2433332431,대방동,37000,1,29,1,2,0.272945187097951
2433586859,대방동,62000,0,29,1,2,0.1798413998048436
2432852264,동작동,80000,0,13,0,1,0.5219202083661578
2432738153,동작동,75000,0,13,0,1,0.5931646213966736
2433909721,동작동,70000,0,13,0,1,0.5931646213966736
2433318914,봉천동,97000,0,20,0,6,0.7333121196657225
2429970455,봉천동,65000,2,21,1,2,0.4598835219562947
2434605394,봉천동,40000,0,21,1,8,0.5896476679598919
2434605507,봉천동,50000,0,19,1,8,0.6139637506267552
2433912594,봉천동,95000,0,7,0,2,0.63123553548553
2430927874,봉천동,45000,0,7,0,2,0.6659365549300393
2433913568,봉천동,45000,0,7,0,2,0.6659365549300393
2432424150,봉천동,85000,0,7,0,2,0.6183626633380381
2429911358,봉천동,42000,1,20,0,2,0.7262379070275032
2429515924,봉천동,75000,2,30,0,2,0.3874546302950991
2433114142,봉천동,20000,2,45,0,1,0.6178294780259331
2431386469,봉천동,10000,1,19,0,4,0.7129511094223255
2432503560,봉천동,10000,2,24,0,3,0.1921034224698179
2434481527,염창동,12000,2,24,1,3,0.1932764373065116
2433574729,등촌동,35000,2,26,1,3,0.2491043544107473
2434219708,등촌동,9000,2,22,1,5,0.451906286054948
2434218907,등촌동,5000,2,22,1,5,0.451906286054948
2433664768,등촌동,20000,1,24,1,2,0.2884459439718023
2433513127,등촌동,13000,2,23,0,3,0.0996570300298566
2433497565,등촌동,27000,2,23,0,3,0.0922106713977217
2433363428,등촌동,16000,2,23,0,3,0.0922106713977217
2432786948,등촌동,10000,2,24,0,3,0.1138070202085499
2433066962,등촌동,11500,1,11,0,4,0.3916794788110612
2433528302,등촌동,19000,1,20,0,3,0.7492012713431344
2433523854,등촌동,24000,0,15,0,2,0.9789865909521976
2430955888,등촌동,22050,0,15,0,2,0.9677859646264304
2430956047,등촌동,22050,0,15,0,2,0.9677859646264304
2432285740,등촌동,18000,0,15,0,2,0.9677859646264304
2432258645,등촌동,22050,0,15,0,2,0.9677859646264304
2432262258,등촌동,18000,0,15,0,2,0.9677859646264304
2432463353,등촌동,22050,0,15,0,2,0.9677859646264304
2432958441,등촌동,5000,2,24,0,2,0.3463666462014246
2433444814,등촌동,35000,3,31,0,1,0.5305670275580848
2434492104,등촌동,11000,2,26,0,1,0.6208303755910007
2433512919,등촌동,8000,3,39,1,3,0.5883960832475192
2433194658,등촌동,8000,3,39,1,3,0.5883960832475192
2433194143,등촌동,11000,3,39,1,3,0.5883960832475192
2433312078,등촌동,6800,2,25,1,2,0.7981926575337573
2432541326,마곡동,8000,3,38,1,3,0.5979454354597399
2434617476,마곡동,8000,3,38,1,3,0.5979454354597399
2434617432,마곡동,8000,3,38,1,3,0.5979454354597399
2433510574,마곡동,14000,3,39,1,3,0.5788575417778662
2433437232,마곡동,13000,3,39,1,3,0.5788575417778662
2433384642,마곡동,11000,0,28,1,3,0.5953690740155374
2432486265,마곡동,8000,0,27,0,3,0.6924401393049872
2433473966,마곡동,15000,0,25,1,3,0.6782230307249189
2432484429,마곡동,8500,0,23,1,3,0.7036693593448123
2431965446,화곡동,35900,0,35,0,3,0.8318842420799882
2431933315,화곡동,35900,0,35,0,3,0.8318842420799882
2434560728,화곡동,27300,1,19,0,4,0.7227769629752785
2434182904,화곡동,27000,1,17,1,3,0.2990312566088361
2433922445,화곡동,35000,1,27,0,1,0.2740093507232662
2432909875,화곡동,55000,1,20,0,7,0.488312138859582
2434447533,화곡동,46000,1,32,0,6,0.7646317185472671
2433909473,화곡동,65000,0,5,1,4,0.7441726137892145
2434057543,사당동,61000,2,25,1,2,0.6035255727715374
2434176201,사당동,74000,1,21,1,4,0.1583681537134836
2434162998,사당동,90000,0,18,0,4,0.1450973973851429
2434528164,사당동,83000,0,19,1,5,0.1902370070951225
2434100578,사당동,80000,0,18,1,5,0.2974163878594741
2432125476,사당동,67000,1,15,0,3,0.5753085136400959
2434054981,사당동,66000,1,18,0,4,0.5118289150107432
2434085858,상도동,80000,0,15,0,2,0.6389554726178384
2434117407,상도동,40000,2,34,0,3,0.2834818881996152
2433993104,상도동,18300,0,29,0,1,0.7042521916578318
2431018692,상도동,18300,0,29,0,1,0.7042521916578318
2434199161,상도동,18500,0,34,0,1,0.5522607538804293
2432708302,봉천동,14490,0,29,0,2,0.7334130901754239
2432696691,신림동,20000,1,12,1,0,0.8365062889925658
2433184296,신림동,20000,1,12,1,0,0.8365062889925658
2429721660,신림동,23500,1,15,1,0,0.8820447440959734
2432674302,신림동,7350,1,19,0,0,0.6044208819631703
2432230363,신림동,14900,1,33,0,1,0.6958240348099394
2431006727,신림동,5400,1,52,0,1,0.859460479101433
2433611149,신림동,14994,1,21,1,1,0.2369820585931851
2432960149,신림동,20000,0,28,1,4,0.2938311396892279
2430180568,신림동,51500,2,21,0,4,0.3774513325741532
2432503248,마곡동,65000,2,43,0,2,0.4707785661016192
2432788251,마곡동,59500,1,21,0,1,0.451094906742447
2433407771,마곡동,70000,2,29,0,1,0.3130381315412956
2433067851,방화동,65000,0,23,0,1,0.552422724137358
2433292107,방화동,65000,0,21,0,1,0.5720726692158615
2434210121,방화동,70000,0,18,0,0,0.5365534313651729
2431904432,방화동,61000,0,24,0,1,0.5385211558863289
2434540580,방화동,82000,1,15,0,3,0.2782441174772703
2431165933,방화동,85000,1,15,0,3,0.2782441174772703
2433910806,방화동,110000,1,19,0,3,0.3901484396167509
2434573986,방화동,65000,2,38,0,1,0.2465247802743533
2434629333,화곡동,19000,2,31,1,1,1.0945997164036565
2432966882,화곡동,28000,2,34,2,1,0.3870041544435064
